label,year,doi,citation,pubmed_id,bib
"Arencibia, Bonnin 2009",NA,NA,"Arencibia JM, Martên S, P_rez-Rodrêguez FJ, Bonnin A. Gene expression profiling reveals overexpression of TSPAN13 in prostate cancer. Int J Oncol 2009 Feb;34(2):457-63.",19148481,"@Article{arencibia2009gene,
  title = {Gene expression profiling reveals overexpression of TSPAN13 in prostate cancer},
  author = {Jose M Arencibia and Susana Mart{\a'\i}n and Francisco J P{\a'e}rez-Rodr{\a'\i}guez and Ana Bonnin},
  year = {2009},
  month = {Feb},
  journal = {International journal of oncology},
  volume = {34},
  number = {2},
  pages = {457-63},
  eprint = {19148481},
  language = {eng},
  issn = {1019-6439},
  abstract = {Prostate cancer is one of the most frequent malignancies in the Western world. The identification of additional molecular markers is needed to refine the diagnosis of prostate cancer and to develop more effective therapies. In order to identify molecular abnormalities involved in prostate cancer progression, we performed gene expression analysis of prostate cancer samples compared to matched normal tissue from the same patient using a cancer-related microarray. Amplified RNA was hybridized to a cDNA microarray containing 6386 genes and tissue microarrays were used to study protein expression levels. Using significance analysis of microarrays, we identified >1300 genes differentially expressed in prostate cancer compared to normal tissue. Forty-two of these genes were highly upregulated in prostate cancer while 169 were highly repressed. We found that the gene coding for tspan13 was upregulated >2-fold in 75% of the samples analyzed. Immunohistochemistry analysis of prostate cancer tissue microarrays showed that tspan13 is overexpressed in 80% of prostate cancer samples analyzed. We found that tspan13 expression inversely correlates with Gleason score (p=0.01) and PSA preoperative levels (p=0.11) and directly correlates with presence of prostatic intraepithelial neoplasia in tumor tissue (p=0.04). Moreover, we detected tspan13 expression in low-grade prostatic intraepithelial neoplasia. Thus, our results show that tspan13 is overexpressed in prostate cancer and its expression correlates with factors of favourable outcome. Therefore we suggest that tspan13 may have an important role in the progression of prostate cancer.},
  eprinttype = {pubmed},
}"
"Poisson, Chinnaiyan 2011",2011,NA,NA,"NA",NA
GSE7949,2007,NA,NA,"NA",NA
"Prueitt, Ambs 2008",NA,NA,"Prueitt RL, Yi M, Hudson RS, Wallace TA et al. Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer. Prostate 2008 Aug 1;68(11):1152-64.",18459106,"@Article{prueitt2008expression,
  title = {Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer},
  author = {Robyn L Prueitt and Ming Yi and Robert S Hudson and Tiffany A Wallace and Tiffany M Howe and Harris G Yfantis and Dong H Lee and Robert M Stephens and Chang-Gong Liu and George A Calin and Carlo M Croce and Stefan Ambs},
  year = {2008},
  month = {Aug},
  journal = {The Prostate},
  volume = {68},
  number = {11},
  pages = {1152-64},
  eprint = {18459106},
  doi = {10.1002/pros.20786},
  language = {eng},
  issn = {0270-4137},
  abstract = {BACKGROUND: Perineural invasion (PNI) is the dominant pathway for local invasion in prostate cancer. To date, only few studies have investigated the molecular differences between prostate tumors with PNI and those without it.
METHODS: To evaluate the involvement of both microRNAs and protein-coding genes in PNI, we determined their genome-wide expression with a custom microRNA microarray and Affymetrix GeneChips in 50 prostate adenocarcinomas with PNI and 7 without it. In situ hybridization (ISH) and immunohistochemistry was used to validate candidate genes.
RESULTS: Unsupervised classification of the 57 adenocarcinomas revealed two clusters of tumors with distinct global microRNA expression. One cluster contained all non-PNI tumors and a subgroup of PNI tumors. Significance analysis of microarray data yielded a list of microRNAs associated with PNI. At a false discovery rate (FDR)<10%, 19 microRNAs were higher expressed in PNI tumors than in non-PNI tumors. The most differently expressed microRNA was miR-224. ISH showed that this microRNA is expressed by perineural cancer cells. The analysis of protein-coding genes identified 34 transcripts that were differently expressed by PNI status (FDR<10%). These transcripts were down-regulated in PNI tumors. Many of those encoded metallothioneins and proteins with mitochondrial localization and involvement in cell metabolism. Consistent with the microarray data, perineural cancer cells tended to have lower metallothionein expression by immunohistochemistry than nonperineural cancer cells.
CONCLUSIONS: Although preliminary, our findings suggest that alterations in microRNA expression, mitochondrial function, and cell metabolism occur at the transition from a noninvasive prostate tumor to a tumor with PNI.},
  eprinttype = {pubmed},
}"
"Wallace, Ambs 2008",NA,NA,"Wallace TA, Prueitt RL, Yi M, Howe TM et al. Tumor immunobiological differences in prostate cancer between African-American and European-American men. Cancer Res 2008 Feb 1;68(3):927-36.","NA",NA
GSE6919,NA,NA,NA,"NA",NA
GSE6606,NA,NA,NA,"17430594, 15254046, 15892885, 17071602","@Article{chandran2007gene,
  title = {Gene expression profiles of prostate cancer reveal involvement of multiple molecular pathways in the metastatic process},
  author = {Uma R Chandran and Changqing Ma and Rajiv Dhir and Michelle Bisceglia and Maureen Lyons-Weiler and Wenjing Liang and George Michalopoulos and Michael Becich and Federico A Monzon},
  year = {2007},
  month = {Apr},
  journal = {BMC cancer},
  volume = {7},
  pages = {64},
  eprint = {17430594},
  doi = {10.1186/1471-2407-7-64},
  language = {eng},
  issn = {1471-2407},
  abstract = {BACKGROUND: Prostate cancer is characterized by heterogeneity in the clinical course that often does not correlate with morphologic features of the tumor. Metastasis reflects the most adverse outcome of prostate cancer, and to date there are no reliable morphologic features or serum biomarkers that can reliably predict which patients are at higher risk of developing metastatic disease. Understanding the differences in the biology of metastatic and organ confined primary tumors is essential for developing new prognostic markers and therapeutic targets.
METHODS: Using Affymetrix oligonucleotide arrays, we analyzed gene expression profiles of 24 androgen-ablation resistant metastatic samples obtained from 4 patients and a previously published dataset of 64 primary prostate tumor samples. Differential gene expression was analyzed after removing potentially uninformative stromal genes, addressing the differences in cellular content between primary and metastatic tumors.
RESULTS: The metastatic samples are highly heterogenous in expression; however, differential expression analysis shows that 415 genes are upregulated and 364 genes are downregulated at least 2 fold in every patient with metastasis. The expression profile of metastatic samples reveals changes in expression of a unique set of genes representing both the androgen ablation related pathways and other metastasis related gene networks such as cell adhesion, bone remodelling and cell cycle. The differentially expressed genes include metabolic enzymes, transcription factors such as Forkhead Box M1 (FoxM1) and cell adhesion molecules such as Osteopontin (SPP1).
CONCLUSION: We hypothesize that these genes have a role in the biology of metastatic disease and that they represent potential therapeutic targets for prostate cancer.},
  eprinttype = {pubmed},
}
@Article{yu2004gene,
  title = {Gene expression alterations in prostate cancer predicting tumor aggression and preceding development of malignancy},
  author = {Yan Ping Yu and Douglas Landsittel and Ling Jing and Joel Nelson and Baoguo Ren and Lijun Liu and Courtney McDonald and Ryan Thomas and Rajiv Dhir and Sydney Finkelstein and George Michalopoulos and Michael Becich and Jian-Hua Luo},
  year = {2004},
  month = {Jul},
  journal = {Journal of clinical oncology : official journal of the American Society of Clinical Oncology},
  volume = {22},
  number = {14},
  pages = {2790-9},
  eprint = {15254046},
  doi = {10.1200/JCO.2004.05.158},
  language = {eng},
  issn = {0732-183X},
  abstract = {PURPOSE: The incidence of prostate cancer is frequent, occurring in almost one-third of men older than 45 years. Only a fraction of the cases reach the stages displaying clinical significance. Despite the advances in our understanding of prostate carcinogenesis and disease progression, our knowledge of this disease is still fragmented. Identification of the genes and patterns of gene expression will provide a more cohesive picture of prostate cancer biology.
PATIENTS AND METHODS: In this study, we performed a comprehensive gene expression analysis on 152 human samples including prostate cancer tissues, prostate tissues adjacent to tumor, and organ donor prostate tissues, obtained from men of various ages, using the Affymetrix (Santa Clara, CA) U95a, U95b, and U95c chip sets (37,777 genes and expression sequence tags).
RESULTS: Our results confirm an alteration of gene expression in prostate cancer when comparing with nontumor adjacent prostate tissues. However, our study also indicates that the gene expression pattern in tissues adjacent to cancer is so substantially altered that it resembles a cancer field effect.
CONCLUSION: We also found that gene expression patterns can be used to predict the aggressiveness of prostate cancer using a novel model.},
  eprinttype = {pubmed},
}
@Article{chandran2005differences,
  title = {Differences in gene expression in prostate cancer, normal appearing prostate tissue adjacent to cancer and prostate tissue from cancer free organ donors},
  author = {Uma R Chandran and Rajiv Dhir and Changqing Ma and George Michalopoulos and Michael Becich and John Gilbertson},
  year = {2005},
  month = {May},
  journal = {BMC cancer},
  volume = {5},
  pages = {45},
  eprint = {15892885},
  doi = {10.1186/1471-2407-5-45},
  language = {eng},
  issn = {1471-2407},
  abstract = {BACKGROUND: Typical high throughput microarrays experiments compare gene expression across two specimen classes - an experimental class and baseline (or comparison) class. The choice of specimen classes is a major factor in the differential gene expression patterns revealed by these experiments. In most studies of prostate cancer, histologically malignant tissue is chosen as the experimental class while normal appearing prostate tissue adjacent to the tumor (adjacent normal) is chosen as the baseline against which comparison is made. However, normal appearing prostate tissue from tumor free organ donors represents an alterative source of baseline tissue for differential expression studies.
METHODS: To examine the effect of using donor normal tissue as opposed to adjacent normal tissue as a baseline for prostate cancer expression studies, we compared, using oligonucleotide microarrays, the expression profiles of primary prostate cancer (tumor), adjacent normal tissue and normal tissue from tumor free donors.
RESULTS: Statistical analysis using Significance Analysis of Microarrays (SAM) demonstrates the presence of unique gene expression profiles for each of these specimen classes. The tumor v donor expression profile was more extensive that the tumor v adjacent normal profile. The differentially expressed gene lists from tumor v donor, tumor v adjacent normal and adjacent normal v donor comparisons were examined to identify regulated genes. When donors were used as the baseline, similar genes are highly regulated in both tumor and adjacent normal tissue. Significantly, both tumor and adjacent normal tissue exhibit significant up regulation of proliferation related genes including transcription factors, signal transducers and growth regulators compared to donor tissue. These genes were not picked up in a direct comparison of tumor and adjacent normal tissues.
CONCLUSIONS: The up-regulation of these gene types in both tissue types is an unexpected finding and suggests that normal appearing prostate tissue can undergo genetic changes in response to or in expectation of morphologic cancer. A possible field effect surrounding prostate cancers and the implications of these findings for characterizing gene expression changes in prostate tumors are discussed.},
  eprinttype = {pubmed},
}
@Article{chiosea2006regulation,
  title = {Up-regulation of dicer, a component of the MicroRNA machinery, in prostate adenocarcinoma},
  author = {Simion Chiosea and Elena Jelezcova and Uma Chandran and Marie Acquafondata and Teresa McHale and Robert W Sobol and Rajiv Dhir},
  year = {2006},
  month = {Nov},
  journal = {The American journal of pathology},
  volume = {169},
  number = {5},
  pages = {1812-20},
  eprint = {17071602},
  doi = {10.2353/ajpath.2006.060480},
  language = {eng},
  issn = {0002-9440},
  abstract = {MicroRNAs are small noncoding 18- to 24-nt RNAs that are predicted to regulate expression of as many as 30% of protein-encoding genes. In prostate adenocarcinoma, 39 microRNAs are up-regulated, and six microRNAs are down-regulated. Production and function of microRNA requires coordinated processing by proteins of the microRNA machinery. Dicer, an RNase III endonuclease, is an essential component of the microRNA machinery. From a gene array analysis of 16 normal prostate tissue samples, 64 organ-confined, and four metastatic prostate adenocarcinomas, we identified an up-regulation of major components of the microRNA machinery, including Dicer, in metastatic prostate adenocarcinoma. Immunohistochemical studies on a tissue microarray consisting of 232 prostate specimens confirmed up-regulation of Dicer in prostatic intraepithelial neoplasia and in 81% of prostate adenocarcinoma. The increased Dicer level in prostate adenocarcinoma correlated with clinical stage, lymph node status, and Gleason score. Western blot analysis of benign and neoplastic prostate cell lines further confirmed Dicer up-regulation in prostate adenocarcinoma. Dicer up-regulation may explain an almost global increase of microRNA expression in prostate adenocarcinoma. The presence of up-regulated microRNA machinery may predict the susceptibility of prostate adenocarcinoma to RNA interference-based therapy.},
  eprinttype = {pubmed},
}"
"Stoss, Albers 2008",NA,NA,"Stoss O, Werther M, Zielinski D, Middel P et al. Transcriptional profiling of transurethral resection samples provides insight into molecular mechanisms of hormone refractory prostate cancer. Prostate Cancer Prostatic Dis 2008;11(2):166-72.",17646850,"@Article{stoss2008transcriptional,
  title = {Transcriptional profiling of transurethral resection samples provides insight into molecular mechanisms of hormone refractory prostate cancer},
  author = {O Stoss and M Werther and D Zielinski and P Middel and N Jost and J R{\""u}schoff and T Henkel and P Albers},
  year = {2008},
  journal = {Prostate cancer and prostatic diseases},
  volume = {11},
  number = {2},
  pages = {166-72},
  eprint = {17646850},
  doi = {10.1038/sj.pcan.4501001},
  language = {eng},
  issn = {1476-5608},
  abstract = {The molecular mechanisms for hormone-resistant prostate cancer progression still remain elusive, mainly due to the limited availability of corresponding tissue. As transurethral resection (TUR) is a common palliative therapy for patients with hormone refractory prostate cancer (HRPC) who have subvesical obstruction, we aimed to demonstrate that TUR samples can be used to identify significantly affected biological pathways during the switch to HRPC using oligonucleotide microarray analysis. Among the most significantly deregulated pathways in HRPC, we observed an induction of oxidative phosphorylation and a repression of cytoskeletal components.},
  eprinttype = {pubmed},
}"
"Varambally, Chinnaiyan 2005",NA,NA,"Varambally S, Yu J, Laxman B, Rhodes DR et al. Integrative genomic and proteomic analysis of prostate cancer reveals signatures of metastatic progression. Cancer Cell 2005 Nov;8(5):393-406.",16286247,"@Article{varambally2005integrative,
  title = {Integrative genomic and proteomic analysis of prostate cancer reveals signatures of metastatic progression},
  author = {Sooryanarayana Varambally and Jianjun Yu and Bharathi Laxman and Daniel R Rhodes and Rohit Mehra and Scott A Tomlins and Rajal B Shah and Uma Chandran and Federico A Monzon and Michael J Becich and John T Wei and Kenneth J Pienta and Debashis Ghosh and Mark A Rubin and Arul M Chinnaiyan},
  year = {2005},
  month = {Nov},
  journal = {Cancer cell},
  volume = {8},
  number = {5},
  pages = {393-406},
  eprint = {16286247},
  doi = {10.1016/j.ccr.2005.10.001},
  language = {eng},
  issn = {1535-6108},
  abstract = {Molecular profiling of cancer at the transcript level has become routine. Large-scale analysis of proteomic alterations during cancer progression has been a more daunting task. Here, we employed high-throughput immunoblotting in order to interrogate tissue extracts derived from prostate cancer. We identified 64 proteins that were altered in prostate cancer relative to benign prostate and 156 additional proteins that were altered in metastatic disease. An integrative analysis of this compendium of proteomic alterations and transcriptomic data was performed, revealing only 48%-64% concordance between protein and transcript levels. Importantly, differential proteomic alterations between metastatic and clinically localized prostate cancer that mapped concordantly to gene transcripts served as predictors of clinical outcome in prostate cancer as well as other solid tumors.},
  eprinttype = {pubmed},
}"
"True, Nelson 2006",NA,NA,"True L, Coleman I, Hawley S, Huang CY et al. A molecular correlate to the Gleason grading system for prostate adenocarcinoma. Proc Natl Acad Sci U S A 2006 Jul 18;103(29):10991-6.",16829574,"@Article{true2006molecular,
  title = {A molecular correlate to the Gleason grading system for prostate adenocarcinoma},
  author = {Lawrence True and Ilsa Coleman and Sarah Hawley and Ching-Ying Huang and David Gifford and Roger Coleman and Tomasz M Beer and Edward Gelmann and Milton Datta and Elahe Mostaghel and Beatrice Knudsen and Paul Lange and Robert Vessella and Daniel Lin and Leroy Hood and Peter S Nelson},
  year = {2006},
  month = {Jul},
  journal = {Proceedings of the National Academy of Sciences of the United States of America},
  volume = {103},
  number = {29},
  pages = {10991-6},
  eprint = {16829574},
  doi = {10.1073/pnas.0603678103},
  language = {eng},
  issn = {0027-8424},
  abstract = {Adenocarcinomas of the prostate can be categorized into tumor grades based on the extent to which the cancers histologically resemble normal prostate glands. Because grades are surrogates of intrinsic tumor behavior, characterizing the molecular phenotype of grade is of potential clinical importance. To identify molecular alterations underlying prostate cancer grades, we used microdissection to obtain specific cohorts of cancer cells corresponding to the most common Gleason patterns (patterns 3, 4, and 5) from 29 radical prostatectomy samples. We paired each cancer sample with matched benign lumenal prostate epithelial cells and profiled transcript abundance levels by microarray analysis. We identified an 86-gene model capable of distinguishing low-grade (pattern 3) from high-grade (patterns 4 and 5) cancers. This model performed with 76% accuracy when applied to an independent set of 30 primary prostate carcinomas. Using tissue microarrays comprising >800 prostate samples, we confirmed a significant association between high levels of monoamine oxidase A expression and poorly differentiated cancers by immunohistochemistry. We also confirmed grade-associated levels of defender against death (DAD1) protein and HSD17 beta4 transcripts by immunohistochemistry and quantitative RT-PCR, respectively. The altered expression of these genes provides functional insights into grade-associated features of therapy resistance and tissue invasion. Furthermore, in identifying a profile of 86 genes that distinguish high- from low-grade carcinomas, we have generated a set of potential targets for modulating the development and progression of the lethal prostate cancer phenotype.},
  eprinttype = {pubmed},
}"
"Tomlins, Chinnaiyan 2007",NA,NA,"Tomlins SA, Mehra R, Rhodes DR, Cao X et al. Integrative molecular concept modeling of prostate cancer progression. Nat Genet 2007 Jan;39(1):41-51.",17173048,"@Article{tomlins2007integrative,
  title = {Integrative molecular concept modeling of prostate cancer progression},
  author = {Scott A Tomlins and Rohit Mehra and Daniel R Rhodes and Xuhong Cao and Lei Wang and Saravana M Dhanasekaran and Shanker Kalyana-Sundaram and John T Wei and Mark A Rubin and Kenneth J Pienta and Rajal B Shah and Arul M Chinnaiyan},
  year = {2007},
  month = {Jan},
  journal = {Nature genetics},
  volume = {39},
  number = {1},
  pages = {41-51},
  eprint = {17173048},
  doi = {10.1038/ng1935},
  language = {eng},
  issn = {1061-4036},
  abstract = {Despite efforts to profile prostate cancer, the genetic alterations and biological processes that correlate with the observed histological progression are unclear. Using laser-capture microdissection to isolate 101 cell populations, we have profiled prostate cancer progression from benign epithelium to metastatic disease. By analyzing expression signatures in the context of over 14,000 'molecular concepts', or sets of biologically connected genes, we generated an integrative model of progression. Molecular concepts that demarcate critical transitions in progression include protein biosynthesis, E26 transformation-specific (ETS) family transcriptional targets, androgen signaling and cell proliferation. Of note, relative to low-grade prostate cancer (Gleason pattern 3), high-grade cancer (Gleason pattern 4) shows an attenuated androgen signaling signature, similar to metastatic prostate cancer, which may reflect dedifferentiation and explain the clinical association of grade with prognosis. Taken together, these data show that analyzing gene expression signatures in the context of a compendium of molecular concepts is useful in understanding cancer biology.},
  eprinttype = {pubmed},
}"
