label,year,doi,citation,pubmed_id,bib
"Tamura, Nakagawa 2007",NA,NA,"Tamura K, Furihata M, Tsunoda T, Ashida S et al. Molecular features of hormone-refractory prostate cancer cells by genome-wide gene expression profiles. Cancer Res 2007 Jun 1;67(11):5117-25.",17545589,"@Article{tamura2007molecular,
  title = {Molecular features of hormone-refractory prostate cancer cells by genome-wide gene expression profiles},
  author = {Kenji Tamura and Mutsuo Furihata and Tatsuhiko Tsunoda and Shingo Ashida and Ryo Takata and Wataru Obara and Hiroki Yoshioka and Yataro Daigo and Yasutomo Nasu and Hiromi Kumon and Hiroyuki Konaka and Mikio Namiki and Keiichi Tozawa and Kenjiro Kohri and Nozomu Tanji and Masayoshi Yokoyama and Toru Shimazui and Hideyuki Akaza and Yoichi Mizutani and Tsuneharu Miki and Tomoaki Fujioka and Taro Shuin and Yusuke Nakamura and Hidewaki Nakagawa},
  year = {2007},
  month = {Jun},
  journal = {Cancer research},
  volume = {67},
  number = {11},
  pages = {5117-25},
  eprint = {17545589},
  doi = {10.1158/0008-5472.CAN-06-4040},
  language = {eng},
  issn = {0008-5472},
  abstract = {One of the most critical issues in prostate cancer clinic is emerging hormone-refractory prostate cancers (HRPCs) and their management. Prostate cancer is usually androgen dependent and responds well to androgen ablation therapy. However, at a certain stage, they eventually acquire androgen-independent and more aggressive phenotype and show poor response to any anticancer therapies. To characterize the molecular features of clinical HRPCs, we analyzed gene expression profiles of 25 clinical HRPCs and 10 hormone-sensitive prostate cancers (HSPCs) by genome-wide cDNA microarrays combining with laser microbeam microdissection. An unsupervised hierarchical clustering analysis clearly distinguished expression patterns of HRPC cells from those of HSPC cells. In addition, primary and metastatic HRPCs from three patients were closely clustered regardless of metastatic organs. A supervised analysis and permutation test identified 36 up-regulated genes and 70 down-regulated genes in HRPCs compared with HSPCs (average fold difference > 1.5; P < 0.0001). We observed overexpression of AR, ANLN, and SNRPE and down-regulation of NR4A1, CYP27A1, and HLA-A antigen in HRPC progression. AR overexpression is likely to play a central role of hormone-refractory phenotype, and other genes we identified were considered to be related to more aggressive phenotype of clinical HRPCs, and in fact, knockdown of these overexpressing genes by small interfering RNA resulted in drastic attenuation of prostate cancer cell viability. Our microarray analysis of HRPC cells should provide useful information to understand the molecular mechanism of HRPC progression and to identify molecular targets for development of HRPC treatment.},
  eprinttype = {pubmed},
}"
"Setlur, Rubin 2008",NA,NA,"Setlur SR, Mertz KD, Hoshida Y, Demichelis F et al. Estrogen-dependent signaling in a molecularly distinct subclass of aggressive prostate cancer. J Natl Cancer Inst 2008 Jun 4;100(11):815-25.",18505969,"@Article{setlur2008estrogen,
  title = {Estrogen-dependent signaling in a molecularly distinct subclass of aggressive prostate cancer},
  author = {Sunita R Setlur and Kirsten D Mertz and Yujin Hoshida and Francesca Demichelis and Mathieu Lupien and Sven Perner and Andrea Sboner and Yudi Pawitan and Ove Andr{\a'e}n and Laura A Johnson and Jeff Tang and Hans-Olov Adami and Stefano Calza and Arul M Chinnaiyan and Daniel Rhodes and Scott Tomlins and Katja Fall and Lorelei A Mucci and Philip W Kantoff and Meir J Stampfer and Swen-Olof Andersson and Eberhard Varenhorst and Jan-Erik Johansson and Myles Brown and Todd R Golub and Mark A Rubin},
  year = {2008},
  month = {Jun},
  journal = {Journal of the National Cancer Institute},
  volume = {100},
  number = {11},
  pages = {815-25},
  eprint = {18505969},
  doi = {10.1093/jnci/djn150},
  language = {eng},
  issn = {1460-2105},
  abstract = {BACKGROUND: The majority of prostate cancers harbor gene fusions of the 5'-untranslated region of the androgen-regulated transmembrane protease serine 2 (TMPRSS2) promoter with erythroblast transformation-specific transcription factor family members. The common fusion between TMPRESS2 and v-ets erythroblastosis virus E26 oncogene homolog (avian) (ERG) is associated with a more aggressive clinical phenotype, implying the existence of a distinct subclass of prostate cancer defined by this fusion.
METHODS: We used complementary DNA-mediated annealing, selection, ligation, and extension to determine the expression profiles of 6144 transcriptionally informative genes in archived biopsy samples from 455 prostate cancer patients in the Swedish Watchful Waiting cohort (1987-1999) and the United States-based Physicians(') Health Study cohort (1983-2003). A gene expression signature for prostate cancers with the TMPRSS2-ERG fusion was determined using partitioning and classification models and used in computational functional analysis. Cell proliferation and TMPRSS2-ERG expression in androgen receptor-negative (NCI-H660) prostate cancer cells after treatment with vehicle or estrogenic compounds were assessed by viability assays and quantitative polymerase chain reaction, respectively. All statistical tests were two-sided.
RESULTS: We identified an 87-gene expression signature that distinguishes TMPRSS2-ERG fusion prostate cancer as a discrete molecular entity (area under the curve = 0.80, 95% confidence interval [CI] = 0.792 to 0.81; P < .001). Computational analysis suggested that this fusion signature was associated with estrogen receptor (ER) signaling. Viability of NCI-H660 cells decreased after treatment with estrogen (viability normalized to day 0, estrogen vs vehicle at day 8, mean = 2.04 vs 3.40, difference = 1.36, 95% CI = 1.12 to 1.62) or ERbeta agonist (ERbeta agonist vs vehicle at day 8, mean = 1.86 vs 3.40, difference = 1.54, 95% CI = 1.39 to 1.69) but increased after ERalpha agonist treatment (ERalpha agonist vs vehicle at day 8, mean = 4.36 vs 3.40, difference = 0.96, 95% CI = 0.68 to 1.23). Similarly, expression of TMPRSS2-ERG decreased after ERbeta agonist treatment (fold change over internal control, ERbeta agonist vs vehicle at 24 hours, NCI-H660, mean = 0.57- vs 1.0-fold, difference = 0.43-fold, 95% CI = 0.29- to 0.57-fold) and increased after ERalpha agonist treatment (ERalpha agonist vs vehicle at 24 hours, mean = 5.63- vs 1.0-fold, difference = 4.63-fold, 95% CI = 4.34- to 4.92-fold).
CONCLUSIONS: TMPRSS2-ERG fusion prostate cancer is a distinct molecular subclass. TMPRSS2-ERG expression is regulated by a novel ER-dependent mechanism.},
  eprinttype = {pubmed},
}"
"Lapointe, Pollack 2004",NA,10.1073/pnas.0304146101,"Lapointe J, Li C, Higgins JP, van de Rijn M et al. Gene expression profiling identifies clinically relevant subtypes of prostate cancer. Proc Natl Acad Sci U S A 2004 Jan 20;101(3):811-6.
",14711987,"@article{Lapointe_2004,
	doi = {10.1073/pnas.0304146101},
	url = {https://doi.org/10.1073%2Fpnas.0304146101},
	year = 2004,
	month = {jan},
	publisher = {Proceedings of the National Academy of Sciences},
	volume = {101},
	number = {3},
	pages = {811--816},
	author = {J. Lapointe and C. Li and J. P. Higgins and M. van de Rijn and E. Bair and K. Montgomery and M. Ferrari and L. Egevad and W. Rayford and U. Bergerheim and P. Ekman and A. M. DeMarzo and R. Tibshirani and D. Botstein and P. O. Brown and J. D. Brooks and J. R. Pollack},
	title = {Gene expression profiling identifies clinically relevant subtypes of prostate cancer},
	journal = {Proceedings of the National Academy of Sciences}
}"
"Best, Chuaqui 2005",NA,NA,"Best CJ, Gillespie JW, Yi Y, Chandramouli GV et al. Molecular alterations in primary prostate cancer after androgen ablation therapy. Clin Cancer Res 2005 Oct 1;11(19 Pt 1):6823-34.",16203770,"@Article{best2005molecular,
  title = {Molecular alterations in primary prostate cancer after androgen ablation therapy},
  author = {Carolyn J M Best and John W Gillespie and Yajun Yi and Gadisetti V R Chandramouli and Mark A Perlmutter and Yvonne Gathright and Heidi S Erickson and Lauren Georgevich and Michael A Tangrea and Paul H Duray and Sergio Gonz{\a'a}lez and Alfredo Velasco and W Marston Linehan and Robert J Matusik and Douglas K Price and William D Figg and Michael R Emmert-Buck and Rodrigo F Chuaqui},
  year = {2005},
  month = {Oct},
  journal = {Clinical cancer research : an official journal of the American Association for Cancer Research},
  volume = {11},
  number = {19 Pt 1},
  pages = {6823-34},
  eprint = {16203770},
  doi = {10.1158/1078-0432.CCR-05-0585},
  language = {eng},
  issn = {1078-0432},
  abstract = {PURPOSE: After an initial response to androgen ablation, most prostate tumors recur, ultimately progressing to highly aggressive androgen-independent cancer. The molecular mechanisms underlying progression are not well known in part due to the rarity of androgen-independent samples from primary and metastatic sites.
EXPERIMENTAL DESIGN: We compared the gene expression profiles of 10 androgen-independent primary prostate tumor biopsies with 10 primary, untreated androgen-dependent tumors. Samples were laser capture microdissected, the RNA was amplified, and gene expression was assessed using Affymetrix Human Genome U133A GeneChip. Differential expression was examined with principal component analysis, hierarchical clustering, and Student's t testing. Analysis of gene ontology was done with Expression Analysis Systematic Explorer and gene expression data were integrated with genomic alterations with Differential Gene Locus Mapping.
RESULTS: Unsupervised principal component analysis showed that the androgen-dependent and androgen-independent tumors segregated from one another. After filtering the data, 239 differentially expressed genes were identified. Two main gene ontologies were found discordant between androgen-independent and androgen-dependent tumors: macromolecule biosynthesis was down-regulated and cell adhesion was up-regulated in androgen-independent tumors. Other differentially expressed genes were related to interleukin-6 signaling as well as angiogenesis, cell adhesion, apoptosis, oxidative stress, and hormone response. The Differential Gene Locus Mapping analysis identified nine regions of potential chromosomal deletion in the androgen-independent tumors, including 1p36, 3p21, 6p21, 8p21, 11p15, 11q12, 12q23, 16q12, and 16q21.
CONCLUSIONS: Taken together, these data identify several unique characteristics of androgen-independent prostate cancer that may hold potential for the development of targeted therapeutic intervention.},
  eprinttype = {pubmed},
}"
"Barwick, Abramovitz 2010",NA,NA,"Barwick BG, Abramovitz M, Kodani M, Moreno CS et al. Prostate cancer genes associated with TMPRSS2-ERG gene fusion and prognostic of biochemical recurrence in multiple cohorts. Br J Cancer 2010 Feb 2;102(3):570-6.",20068566,"@Article{barwick2010prostate,
  title = {Prostate cancer genes associated with TMPRSS2-ERG gene fusion and prognostic of biochemical recurrence in multiple cohorts},
  author = {B G Barwick and M Abramovitz and M Kodani and C S Moreno and R Nam and W Tang and M Bouzyk and A Seth and B Leyland-Jones},
  year = {2010},
  month = {Feb},
  journal = {British journal of cancer},
  volume = {102},
  number = {3},
  pages = {570-6},
  eprint = {20068566},
  doi = {10.1038/sj.bjc.6605519},
  language = {eng},
  issn = {1532-1827},
  abstract = {BACKGROUND: Recent studies have indicated that prostate cancer patients with the TMPRSS2-ERG gene fusion have a higher risk of recurrence. To identify markers associated with TMPRSS2-ERG fusion and prognostic of biochemical recurrence, we analysed a cohort of 139 men with prostate cancer for 502 molecular markers.
METHODS: RNA from radical prostatectomy tumour specimens was analysed using cDNA-mediated, annealing, selection, extension and ligation (DASL) to determine mRNAs associated with TMPRSS2-ERG T1/E4 fusion and prognostic of biochemical recurrence. Differentially expressed mRNAs in T1/E4-positive tumours were determined using significance analysis of microarrays (false discovery rate (FDR) <5%). Univariate and multivariate Cox regression determined genes, gene signatures and clinical factors prognostic of recurrence (P-value <0.05, log-rank test). Analysis of two prostate microarray studies (GSE1065 and GSE8402) validated the findings.
RESULTS: In the 139 patients from this study and from a 455-patient Swedish cohort, 15 genes in common were differentially regulated in T1/E4 fusion-positive tumours (FDR <0.05). The most significant mRNAs in both cohorts coded ERG. Nine genes were found prognostic of recurrence in this study and in a 596-patient Minnesota cohort. A molecular recurrence score was significant in prognosticating recurrence (P-value 0.000167) and remained significant in multivariate analysis of a mixed clinical model considering Gleason score and TMPRSS2-ERG fusion status.
CONCLUSIONS: TMPRSS2-ERG T1/E4 fusion-positive tumours had differentially regulated mRNAs observed in multiple studies, the most significant one coded for ERG. Several mRNAs were consistently associated with biochemical recurrence and have potential clinical utility but will require further validation for successful translation.},
  eprinttype = {pubmed},
}"
"Chandran, Monzon 2007",NA,NA,"Chandran UR, Ma C, Dhir R, Bisceglia M et al. Gene expression profiles of prostate cancer reveal involvement of multiple molecular pathways in the metastatic process. BMC Cancer 2007 Apr 12;7:64.",17430594,"@Article{chandran2007gene,
  title = {Gene expression profiles of prostate cancer reveal involvement of multiple molecular pathways in the metastatic process},
  author = {Uma R Chandran and Changqing Ma and Rajiv Dhir and Michelle Bisceglia and Maureen Lyons-Weiler and Wenjing Liang and George Michalopoulos and Michael Becich and Federico A Monzon},
  year = {2007},
  month = {Apr},
  journal = {BMC cancer},
  volume = {7},
  pages = {64},
  eprint = {17430594},
  doi = {10.1186/1471-2407-7-64},
  language = {eng},
  issn = {1471-2407},
  abstract = {BACKGROUND: Prostate cancer is characterized by heterogeneity in the clinical course that often does not correlate with morphologic features of the tumor. Metastasis reflects the most adverse outcome of prostate cancer, and to date there are no reliable morphologic features or serum biomarkers that can reliably predict which patients are at higher risk of developing metastatic disease. Understanding the differences in the biology of metastatic and organ confined primary tumors is essential for developing new prognostic markers and therapeutic targets.
METHODS: Using Affymetrix oligonucleotide arrays, we analyzed gene expression profiles of 24 androgen-ablation resistant metastatic samples obtained from 4 patients and a previously published dataset of 64 primary prostate tumor samples. Differential gene expression was analyzed after removing potentially uninformative stromal genes, addressing the differences in cellular content between primary and metastatic tumors.
RESULTS: The metastatic samples are highly heterogenous in expression; however, differential expression analysis shows that 415 genes are upregulated and 364 genes are downregulated at least 2 fold in every patient with metastasis. The expression profile of metastatic samples reveals changes in expression of a unique set of genes representing both the androgen ablation related pathways and other metastasis related gene networks such as cell adhesion, bone remodelling and cell cycle. The differentially expressed genes include metabolic enzymes, transcription factors such as Forkhead Box M1 (FoxM1) and cell adhesion molecules such as Osteopontin (SPP1).
CONCLUSION: We hypothesize that these genes have a role in the biology of metastatic disease and that they represent potential therapeutic targets for prostate cancer.},
  eprinttype = {pubmed},
}"
"PRAD MICH, Nature 2012",NA,NA,NA,"NA",NA
"PRAD FHCRC, Nat Med 2016",NA,NA,NA,"NA",NA
"PRAD Broad, Nat Gen 2012",NA,NA,NA,"NA",NA
"PRAD Broad, Cell 2013",NA,NA,NA,"NA",NA
"SU2C/PCF Dream Team, Cell 2015",NA,NA,NA,"NA",NA
"TCGA, Cell 2015",NA,10.1016/j.cell.2015.10.025,NA,26544944,"@article{Abeshouse_2015,
	doi = {10.1016/j.cell.2015.10.025},
	url = {https://doi.org/10.1016%2Fj.cell.2015.10.025},
	year = 2015,
	month = {nov},
	publisher = {Elsevier {BV}},
	volume = {163},
	number = {4},
	pages = {1011--1025},
	author = {Adam Abeshouse and Jaeil Ahn and Rehan Akbani and Adrian Ally and Samirkumar Amin and Christopher~D. Andry and Matti Annala and Armen Aprikian and Joshua Armenia and Arshi Arora and J.~Todd Auman and Miruna Balasundaram and Saianand Balu and Christopher~E. Barbieri and Thomas Bauer and Christopher~C. Benz and Alain Bergeron and Rameen Beroukhim and Mario Berrios and Adrian Bivol and Tom Bodenheimer and Lori Boice and Moiz~S. Bootwalla and Rodolfo Borges~dos~Reis and Paul~C. Boutros and Jay Bowen and Reanne Bowlby and Jeffrey Boyd and Robert~K. Bradley and Anne Breggia and Fadi Brimo and Christopher~A. Bristow and Denise Brooks and Bradley~M. Broom and Alan~H. Bryce and Glenn Bubley and Eric Burks and Yaron~S.N. Butterfield and Michael Button and David Canes and Carlos~G. Carlotti and Rebecca Carlsen and Michel Carmel and Peter~R. Carroll and Scott~L. Carter and Richard Cartun and Brett~S. Carver and June~M. Chan and Matthew~T. Chang and Yu Chen and Andrew~D. Cherniack and Simone Chevalier and Lynda Chin and Juok Cho and Andy Chu and Eric Chuah and Sudha Chudamani and Kristian Cibulskis and Giovanni Ciriello and Amanda Clarke and Matthew~R. Cooperberg and Niall~M. Corcoran and Anthony~J. Costello and Janet Cowan and Daniel Crain and Erin Curley and Kerstin David and John~A. Demchok and Francesca Demichelis and Noreen Dhalla and Rajiv Dhir and Alexandre Doueik and Bettina Drake and Heidi Dvinge and Natalya Dyakova and Ina Felau and Martin~L. Ferguson and Scott Frazer and Stephen Freedland and Yao Fu and Stacey~B. Gabriel and Jianjiong Gao and Johanna Gardner and Julie~M. Gastier-Foster and Nils Gehlenborg and Mark Gerken and Mark~B. Gerstein and Gad Getz and Andrew~K. Godwin and Anuradha Gopalan and Markus Graefen and Kiley Graim and Thomas Gribbin and Ranabir Guin and Manaswi Gupta and Angela Hadjipanayis and Syed Haider and Lucie Hamel and D.~Neil Hayes and David~I. Heiman and Julian Hess and Katherine~A. Hoadley and Andrea~H. Holbrook and Robert~A. Holt and Antonia Holway and Christopher~M. Hovens and Alan~P. Hoyle and Mei Huang and Carolyn~M. Hutter and Michael Ittmann and Lisa Iype and Stuart~R. Jefferys and Corbin~D. Jones and Steven~J.M. Jones and Hartmut Juhl and Andre Kahles and Christopher~J. Kane and Katayoon Kasaian and Michael Kerger and Ekta Khurana and Jaegil Kim and Robert~J. Klein and Raju Kucherlapati and Louis Lacombe and Marc Ladanyi and Phillip~H. Lai and Peter~W. Laird and Eric~S. Lander and Mathieu Latour and Michael~S. Lawrence and Kevin Lau and Tucker LeBien and Darlene Lee and Semin Lee and Kjong-Van Lehmann and Kristen~M. Leraas and Ignaty Leshchiner and Robert Leung and John~A. Libertino and Tara~M. Lichtenberg and Pei Lin and W.~Marston Linehan and Shiyun Ling and Scott~M. Lippman and Jia Liu and Wenbin Liu and Lucas Lochovsky and Massimo Loda and Christopher Logothetis and Laxmi Lolla and Teri Longacre and Yiling Lu and Jianhua Luo and Yussanne Ma and Harshad~S. Mahadeshwar and David Mallery and Armaz Mariamidze and Marco~A. Marra and Michael Mayo and Shannon McCall and Ginette McKercher and Shaowu Meng and Anne-Marie Mes-Masson and Maria~J. Merino and Matthew Meyerson and Piotr~A. Mieczkowski and Gordon~B. Mills and Kenna~R.~Mills Shaw and Sarah Minner and Alireza Moinzadeh and Richard~A. Moore and Scott Morris and Carl Morrison and Lisle~E. Mose and Andrew~J. Mungall and Bradley~A. Murray and Jerome~B. Myers and Rashi Naresh and Joel Nelson and Mark~A. Nelson and Peter~S. Nelson and Yulia Newton and Michael~S. Noble and Houtan Noushmehr and Matti Nykter and Angeliki Pantazi and Michael Parfenov and Peter~J. Park and Joel~S. Parker and Joseph Paulauskis and Robert Penny and Charles~M. Perou and Alain Pich{\'{e}} and Todd Pihl and Peter~A. Pinto and Davide Prandi and Alexei Protopopov and Nilsa~C. Ramirez and Arvind Rao and W.~Kimryn Rathmell and Gunnar Rätsch and Xiaojia Ren and Victor~E. Reuter and Sheila~M. Reynolds and Suhn~K. Rhie and Kimberly Rieger-Christ and Jeffrey Roach and A.~Gordon Robertson and Brian Robinson and Mark~A. Rubin and Fred Saad and Sara Sadeghi and Gordon Saksena and Charles Saller and Andrew Salner and Francisco Sanchez-Vega and Chris Sander and George Sandusky and Guido Sauter and Andrea Sboner and Peter~T. Scardino and Eleonora Scarlata and Jacqueline~E. Schein and Thorsten Schlomm and Laura~S. Schmidt and Nikolaus Schultz and Steven~E. Schumacher and Jonathan Seidman and Luciano Neder and Sahil Seth and Alexis Sharp and Candace Shelton and Troy Shelton and Hui Shen and Ronglai Shen and Mark Sherman and Margi Sheth and Yan Shi and Juliann Shih and Ilya Shmulevich and Jeffry Simko and Ronald Simon and Janae~V. Simons and Payal Sipahimalani and Tara Skelly and Heidi~J. Sofia and Matthew~G. Soloway and Xingzhi Song and Andrea Sorcini and Carrie Sougnez and Serghei Stepa and Chip Stewart and John Stewart and Joshua~M. Stuart and Travis~B. Sullivan and Charlie Sun and Huandong Sun and Angela Tam and Donghui Tan and Jiabin Tang and Roy Tarnuzzer and Katherine Tarvin and Barry~S. Taylor and Patrick Teebagy and Imelda Tenggara and Bernard T{\^{e}}tu and Ashutosh Tewari and Nina Thiessen and Timothy Thompson and Leigh~B. Thorne and Daniela~P. Tirapelli and Scott~A. Tomlins and Felipe~Amstalden Trevisan and Patricia Troncoso and Lawrence~D. True and Maria~Christina Tsourlakis and Svitlana Tyekucheva and Eliezer Van~Allen and David~J. Van~Den~Berg and Umadevi Veluvolu and Roel Verhaak and Cathy~D. Vocke and Doug Voet and Yunhu Wan and Qingguo Wang and Wenyi Wang and Zhining Wang and Nils Weinhold and John~N. Weinstein and Daniel~J. Weisenberger and Matthew~D. Wilkerson and Lisa Wise and John Witte and Chia-Chin Wu and Junyuan Wu and Ye Wu and Andrew~W. Xu and Shalini~S. Yadav and Liming Yang and Lixing Yang and Christina Yau and Huihui Ye and Peggy Yena and Thomas Zeng and Jean~C. Zenklusen and Hailei Zhang and Jianhua Zhang and Jiashan Zhang and Wei Zhang and Yi Zhong and Kelsey Zhu and Erik Zmuda},
	title = {The Molecular Taxonomy of Primary Prostate Cancer},
	journal = {Cell}
}"
Kamoun et al.,NA,NA,NA,"NA",NA
Liu et al. 2006,NA,NA,NA,"NA",NA
"Liu P, Moreno CS 2006",NA,10.1158/0008-5472.CAN-05-3055,"Liu P, Ramachandran S, Ali Seyed M, Scharer CD, Laycock N, Dalton WB, Williams H, Karanam S, Datta MW, Jaye DL, Moreno CS Cancer Res. 2006 Apr 15;66(8):4011-9
",16618720,"@article{Liu_2006,
	doi = {10.1158/0008-5472.can-05-3055},
	url = {https://doi.org/10.1158%2F0008-5472.can-05-3055},
	year = 2006,
	month = {apr},
	publisher = {American Association for Cancer Research ({AACR})},
	volume = {66},
	number = {8},
	pages = {4011--4019},
	author = {Pengbo Liu and Sumathi Ramachandran and Mohamed Ali Seyed and Christopher D. Scharer and Noelani Laycock and W. Brian Dalton and Holly Williams and Suresh Karanam and Milton W. Datta and David L. Jaye and Carlos S. Moreno},
	title = {Sex-Determining Region Y Box 4 Is a Transforming Oncogene in Human Prostate Cancer Cells},
	journal = {Cancer Research}
}"
